"","Otu000001","Otu000002","Otu000003","Otu000004","Otu000005","Otu000006","Otu000007","Otu000008","Otu000009","Otu000010","Otu000011","Otu000012","Otu000013","Otu000014","Otu000015","Otu000016","Otu000017","Otu000018","Otu000019","Otu000020","Otu000021","Otu000022","Otu000023","Otu000024","Otu000026","Otu000027","Otu000028","Otu000029","Otu000030","Otu000031","Otu000032","Otu000033","Otu000035","Otu000036","Otu000037","Otu000038","Otu000039","Otu000040","Otu000042","Otu000044","Otu000045","Otu000046","Otu000047","Otu000049","Otu000050","Otu000051","Otu000052","Otu000058","Otu000060","Otu000061","Otu000062","Otu000063","Otu000064","Otu000065","Otu000066","Otu000068","Otu000070","Otu000074","Otu000075","Otu000077","Otu000080","Otu000081","Otu000082","Otu000084","Otu000086","Otu000087","Otu000088","Otu000092","Otu000094","Otu000095","Otu000097","Otu000098","Otu000102","Otu000103","Otu000107","Otu000112","Otu000113","Otu000114","Otu000115","Otu000117","Otu000118","Otu000119","Otu000122","Otu000125","Otu000126","Otu000132","Otu000133","Otu000138","Otu000140","Otu000142","Otu000143","Otu000145","Otu000146","Otu000150","Otu000152","Otu000160","Otu000162","Otu000164","Otu000166","Otu000168","Otu000176","Otu000177","Otu000179","Otu000181","Otu000190","Otu000203","Otu000216","Otu000218","Otu000235","Otu000238","Otu000250","Otu000322","Otu000057","Otu000105","Otu000264","Otu000281","Otu000310"
"391",944,222,654,1,368,635,435,61,245,200,350,77,151,127,0,38,365,228,143,27,8,101,0,9,207,0,0,12,32,1,6,7,86,5,147,119,0,347,0,17,40,4,22,22,65,203,45,0,27,17,27,19,108,82,2,11,38,7,14,12,11,0,6,6,24,0,6,7,18,15,1,3,6,25,0,35,0,2,22,1,14,8,29,5,48,0,30,1,0,11,10,0,8,0,1,7,0,1,0,0,5,4,8,4,1,0,2,1,1,4,1,0,0,0,0,0,0
"392",96,473,1347,16,442,223,278,38,37,19,373,57,24,17,2,667,9,233,1,49,58,5,5,104,1,11,9,39,356,0,3,1,558,170,3,47,4,0,3,5,31,26,13,7,0,0,1,6,15,9,1,118,2,0,22,7,10,15,28,0,1,3,199,2,1,7,6,0,2,90,20,16,0,32,7,2,8,0,0,5,7,7,0,4,0,10,4,10,0,0,2,6,2,2,11,0,4,6,9,0,0,1,0,4,0,0,0,6,6,0,6,1,2,0,0,0,0
"393",981,391,7,1814,72,1,6,796,1,1,182,2,5,52,976,0,1,0,0,20,1,0,1,0,0,3,35,1,0,6,143,0,1,1,0,0,0,0,80,0,25,0,82,430,6,0,0,0,1,0,0,0,0,0,22,0,13,11,0,0,0,12,138,0,2,1,24,0,0,0,3,0,0,0,40,0,0,0,0,0,16,33,0,0,0,0,58,78,0,1,0,0,0,0,9,0,24,16,48,0,0,30,1,0,0,24,0,0,0,0,0,0,0,0,0,1,1
"394",368,474,546,512,230,712,646,482,448,332,30,380,41,548,17,263,330,16,17,18,72,115,234,167,89,56,155,94,62,7,15,102,72,5,41,100,22,3,18,40,71,8,41,5,51,1,8,7,15,24,13,31,41,0,7,6,22,16,11,3,6,12,0,19,37,3,13,98,2,0,2,0,0,0,4,8,35,28,26,0,0,10,14,5,0,3,29,7,4,0,15,7,18,27,17,12,22,26,14,8,32,7,7,29,8,15,3,35,1,0,3,4,0,0,0,1,0
"395",589,48,54,1,212,184,87,625,409,354,0,10,243,91,78,288,12,0,245,139,204,397,0,15,115,209,23,66,7,808,0,5,6,5,66,123,0,15,644,23,0,41,57,5,0,4,12,13,107,70,53,11,0,41,4,45,4,15,8,16,15,292,0,28,9,2,5,1,3,6,0,0,52,0,0,0,18,1,17,2,2,1,2,28,1,0,0,0,12,5,8,5,13,0,17,1,0,0,0,2,3,0,3,1,0,0,12,1,0,5,3,1,0,0,0,0,0
"396",235,79,790,8,326,461,204,171,63,166,0,179,114,202,79,93,1,1,17,16,560,229,2,85,19,235,4,0,76,93,3,173,0,29,4,0,246,0,112,51,0,12,27,34,0,201,91,20,59,15,12,0,0,0,20,43,53,2,0,54,35,6,13,0,0,0,52,127,43,0,0,0,19,4,0,4,0,6,61,1,25,12,0,0,57,75,11,2,1,6,0,0,0,10,10,39,0,0,4,2,1,7,1,15,15,2,0,2,3,0,11,2,1,0,0,0,0
"397",2344,257,8,0,1,71,0,756,1,0,1,1,1,1,805,0,0,0,0,20,0,0,0,2,0,12,229,0,626,0,2118,1,0,72,2,0,0,0,39,0,321,188,1,1,224,0,0,1,0,13,0,4,0,0,147,0,0,293,0,0,0,0,0,0,0,141,0,0,7,0,0,0,0,0,301,0,0,0,11,0,34,0,2,0,0,0,0,66,0,0,0,145,0,99,5,0,4,0,0,0,0,4,11,0,0,1,2,0,0,0,0,0,0,0,0,1,0
"398",185,128,302,131,381,202,524,162,185,447,256,411,102,55,806,105,298,0,550,206,57,0,0,323,135,49,7,2,131,0,1,44,20,25,107,200,65,260,2,85,86,25,1,30,1,0,2,0,32,182,14,32,0,0,5,1,0,30,0,3,3,1,0,21,0,4,3,1,0,0,0,20,0,4,0,0,36,45,26,2,13,23,19,18,74,96,7,0,12,0,19,1,25,0,9,2,0,4,4,0,5,1,4,29,46,2,5,1,0,0,0,0,0,2,0,0,0
"399",819,803,172,13,69,75,1459,495,7,269,862,107,286,34,0,48,261,0,231,13,3,46,0,13,0,2,18,22,66,0,43,13,150,207,0,30,4,67,0,0,164,257,8,86,14,512,42,0,4,18,38,20,3,107,2,9,27,6,8,0,9,0,72,13,0,23,0,0,0,2,0,122,0,40,2,56,4,5,3,0,0,37,11,2,0,8,15,17,8,0,2,2,7,0,0,1,10,0,3,1,5,0,7,2,2,2,8,3,0,0,2,2,0,2,0,1,0
"400",245,1167,1527,70,362,376,1620,228,147,36,210,113,58,73,182,140,324,862,1,5,98,165,0,15,74,20,2,0,51,19,1,76,1,21,29,37,1,161,0,1,0,8,31,13,1,1,1,4,9,3,15,62,60,0,8,0,27,2,3,109,2,2,0,0,0,0,0,1,0,0,3,3,0,0,1,3,6,4,8,0,0,3,3,0,48,0,32,7,1,0,10,0,0,2,0,4,6,3,3,1,0,13,1,2,1,0,3,8,0,0,3,0,0,0,6,0,1
"401",331,165,946,203,187,793,455,169,232,374,362,101,246,534,119,139,415,2,0,42,415,154,2,6,301,155,9,12,1,660,0,72,100,4,102,0,130,0,4,2,9,12,17,41,0,0,118,51,35,1,20,0,1,0,8,31,31,4,31,11,24,4,6,6,12,0,32,10,68,1,0,0,22,11,0,3,0,4,10,5,7,1,1,24,0,8,2,0,4,8,3,17,3,2,0,1,0,0,0,0,1,0,9,1,0,5,0,3,0,0,1,3,0,0,0,0,0
"402",106,50,23,561,14,44,301,73,163,53,2477,9,85,25,339,50,29,0,153,3,194,127,476,297,4,186,43,465,11,390,1,10,11,2,72,28,0,4,30,47,3,4,2,1,1,0,14,1,0,19,5,0,15,36,2,97,3,0,8,17,0,295,2,12,4,3,7,0,0,0,0,4,17,2,0,1,31,0,0,2,0,8,2,4,2,9,0,0,1,10,0,1,3,0,0,2,0,2,0,4,4,0,4,0,0,1,20,0,2,6,0,0,0,0,0,0,0
"403",350,205,1494,3,319,59,1052,63,284,77,418,447,243,192,21,271,0,2,1,187,0,219,167,126,45,13,7,1,1,1,1,0,282,6,12,56,0,0,12,122,1,0,109,0,0,0,2,3,35,27,9,32,158,0,25,82,20,86,36,3,49,0,76,17,79,0,21,1,16,0,8,16,24,11,31,0,0,7,14,0,15,9,2,16,0,0,1,4,3,21,59,10,14,12,0,20,2,0,0,0,0,1,16,3,5,0,0,0,1,9,0,5,0,0,0,0,0
"404",113,277,820,172,220,268,964,163,191,162,355,523,397,80,49,206,208,155,154,12,92,238,0,81,0,2,25,146,0,7,0,0,274,27,240,197,0,266,0,242,121,73,4,66,3,0,186,0,6,23,22,0,266,137,0,6,0,0,0,35,47,4,8,29,0,5,1,0,0,0,3,17,19,1,0,3,20,15,8,13,37,16,1,5,0,11,5,0,29,0,11,0,19,13,22,21,14,2,0,6,7,10,11,5,5,3,3,10,4,4,6,3,0,0,0,0,0
"405",510,2704,3,2,369,1063,1,816,139,99,5,1031,197,209,0,605,129,0,0,4,1,0,0,2,13,0,4,85,0,0,6,0,0,12,101,101,61,1,0,6,36,82,2,0,1,0,199,0,40,0,30,0,0,114,12,0,7,9,23,0,0,0,0,4,3,1,0,0,0,0,0,27,0,0,0,46,6,29,0,6,52,2,25,2,0,0,23,7,2,0,0,0,10,6,4,25,10,8,1,16,3,7,1,4,0,5,0,1,5,0,2,5,0,0,0,0,0
"406",398,856,1248,5,397,705,285,475,372,236,0,0,39,237,297,274,1,511,0,87,9,46,575,288,116,7,0,65,0,6,0,0,388,2,122,112,2,0,31,0,41,3,4,32,110,0,10,15,8,0,71,0,0,21,9,98,48,11,100,55,0,53,11,5,60,0,0,0,11,0,8,40,23,6,1,10,0,0,29,0,0,1,0,13,0,0,0,0,0,4,9,0,0,17,0,12,42,0,0,0,0,0,3,0,0,0,0,2,11,2,0,0,0,0,0,0,0
"407",59,823,371,110,16,331,460,124,39,50,0,869,54,15,2,28,47,0,107,2,97,71,291,270,19,0,6,7,372,0,0,146,231,0,6,0,0,147,1,1,79,4,38,143,0,0,10,1,0,0,4,368,6,30,0,9,0,4,6,11,0,0,5,4,42,1,0,0,0,9,0,28,3,4,0,1,10,4,3,18,9,15,11,2,62,29,8,5,23,8,73,1,2,0,0,4,0,1,11,0,1,1,3,13,0,0,3,44,2,0,1,0,0,125,91,8,7
"408",1053,150,1018,76,482,575,1052,300,440,217,271,49,93,332,23,344,175,10,109,83,199,38,0,1,68,7,8,245,40,3,5,1,6,7,41,77,223,0,35,0,12,17,38,0,0,0,145,250,16,23,17,6,0,54,101,22,5,30,17,82,2,12,77,11,0,0,3,0,35,5,1,40,6,35,0,25,0,0,0,2,17,4,0,12,1,21,1,1,0,5,1,0,2,6,1,0,0,0,0,1,0,0,9,2,3,1,8,0,11,1,0,3,0,0,0,0,1
"409",1348,85,342,130,618,537,514,179,162,339,470,65,74,175,66,179,151,79,5,4,143,69,0,111,270,4,4,17,61,160,0,33,195,7,45,70,0,94,0,7,33,4,61,18,0,0,3,0,3,5,44,15,183,28,0,13,3,0,34,1,2,3,0,19,20,5,8,0,22,6,0,16,11,0,1,0,37,10,8,2,1,1,1,7,20,27,2,0,1,24,16,0,4,0,0,1,0,0,0,5,3,1,0,2,0,0,8,4,0,0,0,1,62,0,0,0,0
