test_error,# of Samples,Index of Predicted Column,Algorithm,algorithm
0.28826045508588566,68,18,Pearson Correlation,LassoCV
0.29863028371192446,48,18,Pearson Correlation,LassoCV
0.35814589395347746,28,18,Pearson Correlation,LassoCV
0.5422065637330854,288,19,Pearson Correlation,LassoCV
0.5011614358846622,268,19,Pearson Correlation,LassoCV
0.48918132077250065,248,19,Pearson Correlation,LassoCV
0.49048741301203175,228,19,Pearson Correlation,LassoCV
0.5219875986782704,208,19,Pearson Correlation,LassoCV
0.5446355581949474,188,19,Pearson Correlation,LassoCV
0.5414735244938598,168,19,Pearson Correlation,LassoCV
0.6463898787786126,148,19,Pearson Correlation,LassoCV
0.6017996098811119,128,19,Pearson Correlation,LassoCV
0.6055714111293207,108,19,Pearson Correlation,LassoCV
0.5445291273455078,88,19,Pearson Correlation,LassoCV
0.5076325246916912,68,19,Pearson Correlation,LassoCV
0.49159561073833286,48,19,Pearson Correlation,LassoCV
0.7771255608610591,28,19,Pearson Correlation,LassoCV
0.5317954473563419,288,20,Pearson Correlation,LassoCV
0.5305091886714319,268,20,Pearson Correlation,LassoCV
0.6011960273546991,248,20,Pearson Correlation,LassoCV
0.5962493889386097,228,20,Pearson Correlation,LassoCV
0.5862533890244911,208,20,Pearson Correlation,LassoCV
0.5634373580782933,188,20,Pearson Correlation,LassoCV
0.5973201143414656,168,20,Pearson Correlation,LassoCV
0.6109732157668082,148,20,Pearson Correlation,LassoCV
0.6244874967282327,128,20,Pearson Correlation,LassoCV
0.6474369593837147,108,20,Pearson Correlation,LassoCV
0.615749772139521,88,20,Pearson Correlation,LassoCV
0.6162980770583284,68,20,Pearson Correlation,LassoCV
0.6483837636422649,48,20,Pearson Correlation,LassoCV
0.8031421664189048,28,20,Pearson Correlation,LassoCV
0.44316486525661897,288,21,Pearson Correlation,LassoCV
0.5571161875622866,268,21,Pearson Correlation,LassoCV
0.4624020030559861,248,21,Pearson Correlation,LassoCV
0.49412884074479924,228,21,Pearson Correlation,LassoCV
0.5011057694329333,208,21,Pearson Correlation,LassoCV
0.49039756867645473,188,21,Pearson Correlation,LassoCV
0.5245146214303943,168,21,Pearson Correlation,LassoCV
0.5553641223464044,148,21,Pearson Correlation,LassoCV
0.6978901984984148,128,21,Pearson Correlation,LassoCV
0.6504644121238071,108,21,Pearson Correlation,LassoCV
0.7026463905244557,88,21,Pearson Correlation,LassoCV
0.691847560412243,68,21,Pearson Correlation,LassoCV
0.6432558702980397,48,21,Pearson Correlation,LassoCV
0.5914965884610682,28,21,Pearson Correlation,LassoCV
0.35239573854658834,288,22,Pearson Correlation,LassoCV
0.3895159926664875,268,22,Pearson Correlation,LassoCV
0.3796287255297459,248,22,Pearson Correlation,LassoCV
0.3819570370263867,228,22,Pearson Correlation,LassoCV
0.39114100371957283,208,22,Pearson Correlation,LassoCV
0.41802535857879847,188,22,Pearson Correlation,LassoCV
0.439966944387058,168,22,Pearson Correlation,LassoCV
0.42899721953947373,148,22,Pearson Correlation,LassoCV
0.5201026355923858,128,22,Pearson Correlation,LassoCV
0.4184106532291973,108,22,Pearson Correlation,LassoCV
0.4803106983195331,88,22,Pearson Correlation,LassoCV
0.3479546327624618,68,22,Pearson Correlation,LassoCV
0.6036494492046542,48,22,Pearson Correlation,LassoCV
0.5550079480588489,28,22,Pearson Correlation,LassoCV
0.323550653514921,288,23,Pearson Correlation,LassoCV
0.35889336247533593,268,23,Pearson Correlation,LassoCV
0.30637373110522764,248,23,Pearson Correlation,LassoCV
0.30397739238708216,228,23,Pearson Correlation,LassoCV
0.3189625114319004,208,23,Pearson Correlation,LassoCV
0.3401984418350889,188,23,Pearson Correlation,LassoCV
0.231867011881736,168,23,Pearson Correlation,LassoCV
0.21385519248151755,148,23,Pearson Correlation,LassoCV
0.242845654626198,128,23,Pearson Correlation,LassoCV
0.2215652065681082,108,23,Pearson Correlation,LassoCV
0.2373554296587972,88,23,Pearson Correlation,LassoCV
0.3130207415004261,68,23,Pearson Correlation,LassoCV
0.18434319130651078,48,23,Pearson Correlation,LassoCV
0.2646357793890521,28,23,Pearson Correlation,LassoCV
0.2307637970940887,288,24,Pearson Correlation,LassoCV
0.22044223660419934,268,24,Pearson Correlation,LassoCV
0.23092139969817585,248,24,Pearson Correlation,LassoCV
0.24610916655822349,228,24,Pearson Correlation,LassoCV
0.24621898778390658,208,24,Pearson Correlation,LassoCV
0.25966749371532943,188,24,Pearson Correlation,LassoCV
0.2803974662848006,168,24,Pearson Correlation,LassoCV
0.2739674250150402,148,24,Pearson Correlation,LassoCV
0.3195589380497115,128,24,Pearson Correlation,LassoCV
0.3348235783797692,108,24,Pearson Correlation,LassoCV
0.2188267896270968,88,24,Pearson Correlation,LassoCV
0.4226963501632364,68,24,Pearson Correlation,LassoCV
0.45039033605745543,48,24,Pearson Correlation,LassoCV
0.6126197435465816,28,24,Pearson Correlation,LassoCV
0.46592811206584717,288,25,Pearson Correlation,LassoCV
0.48272796175555305,268,25,Pearson Correlation,LassoCV
0.4790099896024476,248,25,Pearson Correlation,LassoCV
0.48273440039252447,228,25,Pearson Correlation,LassoCV
0.48919839756028516,208,25,Pearson Correlation,LassoCV
0.49315208576656583,188,25,Pearson Correlation,LassoCV
0.48721684013247524,168,25,Pearson Correlation,LassoCV
0.462726066418834,148,25,Pearson Correlation,LassoCV
0.5625243529326996,128,25,Pearson Correlation,LassoCV
0.3915718482777095,108,25,Pearson Correlation,LassoCV
0.3997348989320817,88,25,Pearson Correlation,LassoCV
0.4033299583123273,68,25,Pearson Correlation,LassoCV
0.425248844569454,48,25,Pearson Correlation,LassoCV
0.4731380533227803,28,25,Pearson Correlation,LassoCV
0.38669250315672726,288,26,Pearson Correlation,LassoCV
0.21790765944999557,268,26,Pearson Correlation,LassoCV
0.2804538239638373,248,26,Pearson Correlation,LassoCV
0.24518827120618822,228,26,Pearson Correlation,LassoCV
0.35956996748018527,208,26,Pearson Correlation,LassoCV
0.26465911744646814,188,26,Pearson Correlation,LassoCV
0.3138707386241087,168,26,Pearson Correlation,LassoCV
0.3152381212422984,148,26,Pearson Correlation,LassoCV
0.36352213706485065,128,26,Pearson Correlation,LassoCV
0.5186036151993497,108,26,Pearson Correlation,LassoCV
0.435573606572562,88,26,Pearson Correlation,LassoCV
0.5086119423589239,68,26,Pearson Correlation,LassoCV
0.2830128870940703,48,26,Pearson Correlation,LassoCV
0.4505511105122526,28,26,Pearson Correlation,LassoCV
0.5412399683216174,288,27,Pearson Correlation,LassoCV
0.5572777000311563,268,27,Pearson Correlation,LassoCV
0.5526434038611664,248,27,Pearson Correlation,LassoCV
0.5598342936433347,228,27,Pearson Correlation,LassoCV
0.5522645969081365,208,27,Pearson Correlation,LassoCV
0.5908557558891849,188,27,Pearson Correlation,LassoCV
0.5453589489821953,168,27,Pearson Correlation,LassoCV
0.5350660260327463,148,27,Pearson Correlation,LassoCV
0.5955086167502754,128,27,Pearson Correlation,LassoCV
0.5295388324452248,108,27,Pearson Correlation,LassoCV
0.5937583813501821,88,27,Pearson Correlation,LassoCV
0.5073835586024916,68,27,Pearson Correlation,LassoCV
0.5692021164772085,48,27,Pearson Correlation,LassoCV
0.382840224623538,28,27,Pearson Correlation,LassoCV
0.4269298462165831,288,28,Pearson Correlation,LassoCV
0.3661624508428483,268,28,Pearson Correlation,LassoCV
0.360151157284257,248,28,Pearson Correlation,LassoCV
0.3579379915270578,228,28,Pearson Correlation,LassoCV
0.3657837487437612,208,28,Pearson Correlation,LassoCV
0.3744864701012043,188,28,Pearson Correlation,LassoCV
0.37641003754660596,168,28,Pearson Correlation,LassoCV
0.3542107155185896,148,28,Pearson Correlation,LassoCV
0.4617450878705545,128,28,Pearson Correlation,LassoCV
0.38414738099007445,108,28,Pearson Correlation,LassoCV
0.4413049026022069,88,28,Pearson Correlation,LassoCV
0.3874204995912552,68,28,Pearson Correlation,LassoCV
0.4355932371746274,48,28,Pearson Correlation,LassoCV
0.4057878765942176,28,28,Pearson Correlation,LassoCV
0.486259680634032,288,29,Pearson Correlation,LassoCV
0.4727242312687619,268,29,Pearson Correlation,LassoCV
0.4741145706738268,248,29,Pearson Correlation,LassoCV
0.6044637781352905,228,29,Pearson Correlation,LassoCV
0.581790952321713,208,29,Pearson Correlation,LassoCV
0.5784031150696233,188,29,Pearson Correlation,LassoCV
0.599585583333596,168,29,Pearson Correlation,LassoCV
0.5500625985898466,148,29,Pearson Correlation,LassoCV
0.6241178696678366,128,29,Pearson Correlation,LassoCV
0.6480494304748832,108,29,Pearson Correlation,LassoCV
0.6651744988917311,88,29,Pearson Correlation,LassoCV
0.7350352986531882,68,29,Pearson Correlation,LassoCV
0.6134851080778546,48,29,Pearson Correlation,LassoCV
0.747490495499012,28,29,Pearson Correlation,LassoCV
0.26651705890583577,288,30,Pearson Correlation,LassoCV
0.2935565826333812,268,30,Pearson Correlation,LassoCV
0.29923457228123773,248,30,Pearson Correlation,LassoCV
