Mean Squared Error,FoldID,ymin,ymax,# of Samples,Dataset,Index of Predicted Column,Algorithm
0.20608662534357472,1,-0.6484162398550434,1.0605894905421929,149,Amgut1,0,LassoCV
0.18311003794805883,2,-1.1493532173221275,1.515573293218245,149,Amgut1,0,LassoCV
0.54800554651171,0,-0.6044148023499993,1.7004258953734193,129,Amgut1,0,LassoCV
0.1210531414657702,1,-0.6546421501063253,0.8967484330378657,129,Amgut1,0,LassoCV
0.10010073816545667,2,-0.43280215051309784,0.6330036268440111,129,Amgut1,0,LassoCV
0.053622687444907835,0,-0.5536664061372972,0.6609117810271129,109,Amgut1,0,LassoCV
0.1429922777506368,1,-0.6754827761388367,0.9614673316401103,109,Amgut1,0,LassoCV
0.22121982103758178,2,-0.4242724895200566,0.8667121315952201,109,Amgut1,0,LassoCV
0.0695330373434761,0,-0.5755137360375318,0.7145798107244838,89,Amgut1,0,LassoCV
0.16283894917355404,1,-0.4495218697747475,0.7751997681218555,89,Amgut1,0,LassoCV
0.037376897873765275,2,-0.1983580833851409,0.27311187913267143,89,Amgut1,0,LassoCV
0.10815832431219503,0,-0.7593099959554599,0.97562664457985,69,Amgut1,0,LassoCV
0.18352346898195618,1,-0.4720299855803485,0.8390769235442608,69,Amgut1,0,LassoCV
0.039036431408240715,2,-0.141736055253245,0.2198089180697264,69,Amgut1,0,LassoCV
0.7074375162423614,0,0.7007249719616326,0.7141500605230902,49,Amgut1,0,LassoCV
0.30484170532835053,1,0.24361287814765265,0.3660705325090484,49,Amgut1,0,LassoCV
0.5590253242752516,2,-0.1383255595632258,1.256376208113729,49,Amgut1,0,LassoCV
0.27065950448261855,0,0.1944305276357816,0.3468884813294555,29,Amgut1,0,LassoCV
0.03333651401860693,1,0.033336514018606926,0.03333651401860694,29,Amgut1,0,LassoCV
0.050642376255010384,2,0.050642376255010384,0.050642376255010384,29,Amgut1,0,LassoCV
0.10502043643922303,0,-0.559404797042727,0.769445669921173,289,Amgut1,1,LassoCV
0.11810723146768014,1,-0.6661453959080116,0.9023598588433718,289,Amgut1,1,LassoCV
0.44351062260242546,2,-0.4637614215610636,1.3507826667659146,289,Amgut1,1,LassoCV
0.16147719092348525,0,-0.5853062668132117,0.9082606486601822,269,Amgut1,1,LassoCV
0.26469473670225524,1,-0.46966465696093956,0.9990541303654501,269,Amgut1,1,LassoCV
0.8176870042067634,2,0.03333390072486153,1.6020401076886652,269,Amgut1,1,LassoCV
0.1091906762346016,0,-0.5609618588323142,0.7793432113015175,249,Amgut1,1,LassoCV
0.05005703970118374,1,-0.34198072667765966,0.44209480608002716,249,Amgut1,1,LassoCV
0.13774857492277723,2,-0.7004896228665072,0.9759867727120617,249,Amgut1,1,LassoCV
0.29191150224019047,0,-0.21212042626271532,0.7959434307430963,229,Amgut1,1,LassoCV
0.10091808058589549,1,-0.48730843963538806,0.689144600807179,229,Amgut1,1,LassoCV
0.0936172566998895,2,-0.6018488376681382,0.7890833510679173,229,Amgut1,1,LassoCV
0.07662403364935176,0,-0.491889699970262,0.6451377672689655,209,Amgut1,1,LassoCV
0.24714380843711684,1,-0.21545162853113067,0.7097392454053644,209,Amgut1,1,LassoCV
0.053323374748848726,2,-0.4805309897423935,0.587177739240091,209,Amgut1,1,LassoCV
0.028531390643743708,0,-0.4072622828754156,0.46432506416290303,189,Amgut1,1,LassoCV
0.08163828754000375,1,-0.3272500612578876,0.49052663633789506,189,Amgut1,1,LassoCV
0.151526855608486,2,-0.6629007724056116,0.9659544836225836,189,Amgut1,1,LassoCV
0.03595273087253889,0,-0.41894264064602893,0.49084810239110666,169,Amgut1,1,LassoCV
0.1624384298847186,1,-0.43308218376868957,0.7579590435381267,169,Amgut1,1,LassoCV
0.06568166040198574,2,-0.5475337943408431,0.6788971151448147,169,Amgut1,1,LassoCV
0.030924757340996617,0,-0.3112177537162524,0.37306726839824567,149,Amgut1,1,LassoCV
0.1013623433237651,1,-0.27845880603587453,0.4811834926834047,149,Amgut1,1,LassoCV
0.04851867835551464,2,-0.42062204551214233,0.5176594022231716,149,Amgut1,1,LassoCV
0.04328050312691645,0,-0.2772114511871694,0.3637724574410023,129,Amgut1,1,LassoCV
0.08405727135526843,1,-0.4655422141838049,0.6336567568943418,129,Amgut1,1,LassoCV
0.10073789858862829,2,-0.33513672957860413,0.5366125267558607,129,Amgut1,1,LassoCV
0.11071277524244053,0,-0.1904883753702428,0.4119139258551239,109,Amgut1,1,LassoCV
0.08133820838212415,1,-0.3434209761139294,0.5060973928781777,109,Amgut1,1,LassoCV
0.05610318653541878,2,-0.4338614083996297,0.5460677814704673,109,Amgut1,1,LassoCV
0.08714215825121409,0,-0.33796032639329954,0.5122446428957277,89,Amgut1,1,LassoCV
0.09113925657965455,1,-0.4431258355727193,0.6254043487320284,89,Amgut1,1,LassoCV
0.049954324623941324,2,-0.36301948793093974,0.4629281371788224,89,Amgut1,1,LassoCV
0.021881258818492382,0,-0.31133643268156896,0.35509895031855376,69,Amgut1,1,LassoCV
0.072161592714355,1,-0.4639316358384548,0.6082548212671648,69,Amgut1,1,LassoCV
0.045906215859673825,2,-0.33952856613266635,0.43134099785201396,69,Amgut1,1,LassoCV
0.03266407246753997,0,-0.20442888571149953,0.26975703064657947,49,Amgut1,1,LassoCV
